EmployeeSourceId,FirstName,MiddleName,LastName,FullName,WorkEmail,NationalId,CitizenshipCode,BirthDate,HireDate,TerminationDate,TerminationReasonCode,Position,Level,SupervisorId,SupervisorFirstName,SupervisorMiddleName,SupervisorLastName,SupervisorFullName,CostCenterId,Localization,EmployeeGroupId,EmployeeGroupName,DepartmentLvl1,DepartmentLvl2,DepartmentLvl3,DepartmentLvl4,DepartmentLvl5,SeniorityDays
400009,JACOB,DEBRA,FUENTES,JACOB DEBRA FUENTES,JACOB.FUENTES@WORKMAIL.COM,CV,CV,19660216,20150714,,,Manager,2,400067,LESLIE,"",TRUJILLO,LESLIE TRUJILLO,103667,R021,E,Empleados,OPS,OPS Manager,"","","",21146
400010,JOSEPH,"",RIVAS,JOSEPH RIVAS,JOSEPH.RIVAS@WORKMAIL.COM,NR,NR,19641218,20100913,,,Manager,4,400034,JAMES,"",ALI,JAMES ALI,103667,R111,E,Empleados,RST,RST,"","","",12336
400011,PAMELA,"",LEWIS,PAMELA LEWIS,PAMELA.LEWIS@WORKMAIL.COM,BT,BT,19530907,20150331,,,Manager,2,400060,MELANIE,"",SMITH,MELANIE SMITH,103321,R034,E,Empleados,OPS,OPS Manager,"","","",11631
400012,KEITH,SEAN,OCONNOR,KEITH SEAN OCONNOR,KEITH.OCONNOR@WORKMAIL.COM,FJ,FJ,19800707,20141204,,,Manager,4,400044,JAMIE,"",WALKER,JAMIE WALKER,103321,R061,E,Empleados,OPS,OPS Manager,"","","",19690
400013,TODD,"",LEWIS,TODD LEWIS,TODD.LEWIS@WORKMAIL.COM,BG,BG,20020422,20140124,,,Intern,1,400042,ANDREW,ERIC,VALDEZ,ANDREW ERIC VALDEZ,103421,R111,E,Empleados,RST,RST,"","","",14709
400014,CURTIS,"",MILLER,CURTIS MILLER,CURTIS.MILLER@WORKMAIL.COM,IS,IS,19641109,20110319,,,Manager,2,400105,ANTHONY,"",ROBINSON,ANTHONY ROBINSON,103667,R061,E,Empleados,OPS,OPS Manager,"","","",23026
400015,RACHEL,"",BAKER,RACHEL BAKER,RACHEL.BAKER@WORKMAIL.COM,YE,YE,19850220,20130623,20250830,TERMINATION_REASON_CODE,Manager,4,400104,STACY,"",ROWE,STACY ROWE,103667,R061,E,Empleados,RST,RST,"","","",5640
400016,KELLY,"",MCDANIEL,KELLY MCDANIEL,KELLY.MCDANIEL@WORKMAIL.COM,ST,ST,19531110,20190627,,,Employee,3,400037,DAVID,"",HO,DAVID HO,103321,R034,E,Empleados,OPS,OPS Crew,"","","",4522
400017,ZACHARY,"",KOCH,ZACHARY KOCH,ZACHARY.KOCH@WORKMAIL.COM,CD,CD,19960725,20141001,20240414,TERMINATION_REASON_CODE,Manager,1,400031,RONALD,"",GRIFFITH,RONALD GRIFFITH,103321,R034,E,Empleados,OPS,OPS Manager,"","","",3316
400018,JOSE,"",WATSON,JOSE WATSON,JOSE.WATSON@WORKMAIL.COM,GL,GL,19510416,20181229,20250724,TERMINATION_REASON_CODE,Manager,1,400105,ANTHONY,"",ROBINSON,ANTHONY ROBINSON,103667,R021,E,Empleados,OPS,OPS Manager,"","","",47
400019,TIFFANY,"",WASHINGTON,TIFFANY WASHINGTON,TIFFANY.WASHINGTON@WORKMAIL.COM,NR,NR,19520506,20230104,,,Manager,4,400095,ROBERT,"",SMITH,ROBERT SMITH,103667,R021,E,Empleados,OPS,OPS Manager,"","","",15193
400020,ARTHUR,"",BROWN,ARTHUR BROWN,ARTHUR.BROWN@WORKMAIL.COM,RS,RS,19791130,20141116,,,Employee,3,400056,ERIC,"",SIMPSON,ERIC SIMPSON,103667,R021,E,Empleados,OPS,OPS Crew,"","","",7507
400021,ALISHA,"",SMITH,ALISHA SMITH,ALISHA.SMITH@WORKMAIL.COM,ZM,ZM,19720106,20120527,,,Manager,3,400058,CHRISTOPHER,"",WILLIAMS,CHRISTOPHER WILLIAMS,103667,R061,E,Empleados,OPS,OPS Manager,"","","",20883
400022,KRISTIN,"",HOWARD,KRISTIN HOWARD,KRISTIN.HOWARD@WORKMAIL.COM,RO,RO,19831201,20111125,20240912,TERMINATION_REASON_CODE,Manager,2,400024,KENNETH,KATHERINE,KEY,KENNETH KATHERINE KEY,103421,R034,E,Empleados,RST,RST,"","","",16523
400023,MATTHEW,"",SCHROEDER,MATTHEW SCHROEDER,MATTHEW.SCHROEDER@WORKMAIL.COM,YT,YT,19520929,20220811,,,Manager,1,400084,CATHERINE,AMANDA,FROST,CATHERINE AMANDA FROST,103001,R021,E,Empleados,RST,RST,"","","",18904
